Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
403,Samurott,0.00025,877.0,0.044,675.0,0.043
404,Cottonee,0.00025,668.0,0.033,508.0,0.032
405,Bombirdier,0.00024,1563.0,0.078,1177.0,0.074
406,Exeggutor,0.00024,2393.0,0.119,1741.0,0.11
407,Kricketune,0.00022,427.0,0.021,359.0,0.023
408,Pachirisu,0.00021,684.0,0.034,509.0,0.032
409,Volbeat,0.00021,1334.0,0.066,1089.0,0.069
410,Passimian,0.00019,563.0,0.028,411.0,0.026
411,Voltorb,0.00017,108.0,0.005,90.0,0.006
412,Clefairy,0.00017,341.0,0.017,256.0,0.016
413,Crocalor,0.00016,151.0,0.008,117.0,0.007
414,Naclstack,0.00015,154.0,0.008,104.0,0.007
415,Persian,0.00015,980.0,0.049,813.0,0.051
416,Gumshoos,0.00015,396.0,0.02,309.0,0.019
417,Pyroar,0.00014,945.0,0.047,678.0,0.043
418,Virizion,0.00013,465.0,0.023,360.0,0.023
419,Dugtrio-Alola,0.00013,1034.0,0.051,780.0,0.049
420,Oranguru,0.00013,625.0,0.031,423.0,0.027
421,Girafarig,0.00013,183.0,0.009,137.0,0.009
422,Noibat,0.00012,17.0,0.001,11.0,0.001
423,Electabuzz,0.00012,437.0,0.022,317.0,0.02
424,Magneton,0.00012,1095.0,0.054,894.0,0.056
425,Vigoroth,0.00011,938.0,0.047,799.0,0.05
426,Wyrdeer,0.00011,1074.0,0.053,833.0,0.053
427,Oricorio-Sensu,0.0001,903.0,0.045,615.0,0.039
428,Gible,0.0001,90.0,0.004,75.0,0.005
429,Dachsbun,0.0001,1334.0,0.066,981.0,0.062
430,Rotom,0.0001,420.0,0.021,320.0,0.02
431,Tandemaus,0.0001,65.0,0.003,48.0,0.003
432,Noctowl,0.0001,870.0,0.043,630.0,0.04
433,Lumineon,0.0001,305.0,0.015,237.0,0.015
434,Stantler,9e-05,259.0,0.013,219.0,0.014
435,Skuntank,9e-05,1071.0,0.053,835.0,0.053
436,Furret,9e-05,1287.0,0.064,939.0,0.059
437,Weepinbell,9e-05,195.0,0.01,144.0,0.009
438,Stonjourner,8e-05,149.0,0.007,105.0,0.007
439,Sliggoo,8e-05,19.0,0.001,14.0,0.001
440,Piloswine,8e-05,513.0,0.026,423.0,0.027
441,Oricorio-Pa'u,7e-05,150.0,0.007,97.0,0.006
442,Glalie,7e-05,373.0,0.019,278.0,0.018
443,Thwackey,7e-05,103.0,0.005,90.0,0.006
444,Greedent,7e-05,788.0,0.039,531.0,0.033
